index,date,open,high,low,close,volume
0,1984-09-07,0.1183,0.12,0.1172,0.1183,2981600.0
1,1984-09-10,0.1183,0.1188,0.1155,0.1177,2346400.0
2,1984-09-11,0.1188,0.1222,0.1188,0.12,5444000.0
3,1984-09-12,0.12,0.1205,0.1166,0.1166,4773600.0
4,1984-09-13,0.1228,0.1233,0.1228,0.1228,7429600.0
5,1984-09-14,0.1233,0.1272,0.1233,0.1244,8826400.0
6,1984-09-17,0.1278,0.1295,0.1278,0.1278,6886400.0
7,1984-09-18,0.1278,0.1289,0.1233,0.1233,3495200.0
8,1984-09-19,0.1233,0.1244,0.1205,0.1205,3816000.0
9,1984-09-20,0.1211,0.1222,0.1211,0.1211,2387200.0
10,1984-09-21,0.1211,0.1244,0.1183,0.12,3591200.0
11,1984-09-24,0.12,0.1205,0.1188,0.1188,2833600.0
12,1984-09-25,0.1183,0.1183,0.1166,0.1166,5977600.0
13,1984-09-26,0.1166,0.1217,0.115,0.115,3987200.0
14,1984-09-27,0.115,0.1155,0.115,0.115,3796000.0
15,1984-09-28,0.115,0.115,0.1099,0.1121,8344800.0
16,1984-10-01,0.1116,0.1116,0.1094,0.1094,3521600.0
17,1984-10-02,0.1105,0.1144,0.1105,0.1105,4258400.0
18,1984-10-03,0.1121,0.1138,0.1121,0.1121,4335200.0
19,1984-10-04,0.1133,0.1144,0.1133,0.1133,4482400.0
20,1984-10-05,0.1133,0.1133,0.1105,0.111,3510400.0
21,1984-10-08,0.111,0.1116,0.111,0.111,1721600.0
22,1984-10-09,0.111,0.1116,0.1099,0.1099,4515200.0
23,1984-10-10,0.1099,0.1099,0.1066,0.1066,13070400.0
24,1984-10-11,0.1066,0.1094,0.106,0.106,6553600.0
25,1984-10-12,0.106,0.1066,0.1004,0.1016,9522400.0
26,1984-10-15,0.1071,0.1083,0.1071,0.1071,8715200.0
27,1984-10-16,0.1071,0.1077,0.1066,0.1066,4246400.0
28,1984-10-17,0.111,0.1116,0.111,0.111,5636000.0
29,1984-10-18,0.1144,0.115,0.1144,0.1144,8842400.0
30,1984-10-19,0.1144,0.1222,0.1138,0.1144,11673600.0
31,1984-10-22,0.1144,0.1161,0.1133,0.1133,4108800.0
32,1984-10-23,0.1161,0.1172,0.1161,0.1161,6668800.0
33,1984-10-24,0.1172,0.1183,0.1172,0.1172,5989600.0
34,1984-10-25,0.1172,0.1172,0.1127,0.1127,5676000.0
35,1984-10-26,0.1127,0.1127,0.1094,0.1099,4113600.0
36,1984-10-29,0.1105,0.111,0.1105,0.1105,1836000.0
37,1984-10-30,0.1116,0.1127,0.1116,0.1116,2677600.0
38,1984-10-31,0.1116,0.1127,0.111,0.111,2191200.0
39,1984-11-01,0.1116,0.1127,0.1116,0.1116,1680000.0
40,1984-11-02,0.1116,0.1121,0.1105,0.111,1004800.0
41,1984-11-05,0.111,0.1133,0.1105,0.1105,3764800.0
42,1984-11-06,0.1172,0.1177,0.1172,0.1172,8073600.0
43,1984-11-07,0.1172,0.1177,0.115,0.115,8286400.0
44,1984-11-08,0.115,0.115,0.1105,0.1105,3162400.0
45,1984-11-09,0.1105,0.111,0.1027,0.1038,10518400.0
